feature,importance,importance_pct,feature_pretty,group
y_lag_1,56.517519670879246,56.517519670879246,Потребление: лаг 1 ч,Лаги потребления
hour_cos,19.70137037991604,19.70137037991604,Час (cos),Календарные
y_lag_2,4.212408063734111,4.212408063734111,Потребление: лаг 2 ч,Лаги потребления
y_lag_24,3.9221883149322685,3.9221883149322685,Потребление: лаг 24 ч,Лаги потребления
y_roll_mean_24,3.094946655939535,3.094946655939535,Потребление: скользящее среднее 24 ч,Скользящие средние
hour_sin,2.8896219447028306,2.8896219447028306,Час (sin),Календарные
hour,1.6674047147034639,1.6674047147034639,Час,Календарные
y_lag_168,1.4985279200421342,1.4985279200421342,Потребление: лаг 168 ч,Лаги потребления
y_roll_mean_6,1.4114903014815865,1.4114903014815865,Потребление: скользящее среднее 6 ч,Скользящие средние
y_lag_3,0.9262010715715887,0.9262010715715887,Потребление: лаг 3 ч,Лаги потребления
y_lag_12,0.7614675742397525,0.7614675742397526,Потребление: лаг 12 ч,Лаги потребления
is_weekend,0.6839908261896698,0.6839908261896697,Выходной (0/1),Календарные
dow,0.4302685970113337,0.4302685970113337,День недели,Календарные
temp_lag_24,0.3759572718374398,0.3759572718374398,Температура: лаг 24 ч,Температура
y_roll_mean_168,0.318605568915587,0.318605568915587,Потребление: скользящее среднее 168 ч,Скользящие средние
temp_lag_1,0.29762755058011203,0.29762755058011203,Температура: лаг 1 ч,Температура
y_lag_72,0.2697217891114511,0.2697217891114511,Потребление: лаг 72 ч,Лаги потребления
dow_sin,0.25052587887004313,0.25052587887004313,День недели (sin),Календарные
y_lag_48,0.22396521727005825,0.22396521727005825,Потребление: лаг 48 ч,Лаги потребления
dow_cos,0.20925520042030732,0.20925520042030732,День недели (cos),Календарные
temp_lag_168,0.18323652793362968,0.18323652793362968,Температура: лаг 168 ч,Температура
y_lag_6,0.08201528331736271,0.08201528331736271,Потребление: лаг 6 ч,Лаги потребления
temp_lag_6,0.07168367640043934,0.07168367640043934,Температура: лаг 6 ч,Температура
month,0.0,0.0,Месяц,Календарные
month_sin,0.0,0.0,Месяц (sin),Календарные
month_cos,0.0,0.0,Месяц (cos),Календарные
